,transactionIndex,burnRateWei,blockNumber,timestamp
0,162.0,0.0,13178928,1631021709
1,284.0,0.0,13178976,1631022342
2,219.0,10000000000000.0,13179030,1631023074
3,65.0,1000000000.0,13179108,1631024236
4,131.0,20000000000.0,13179791,1631033015
5,136.0,20000000000.0,13179839,1631033760
6,529.0,100000000.0,13179973,1631035460
7,51.0,0.0,13180347,1631040459
8,87.0,10000000000000.0,13180366,1631040750
9,157.0,5000000000000.0,13180382,1631040960
10,54.0,5000000000000.0,13180395,1631041111
11,51.0,10000000000000.0,13180650,1631044528
12,204.0,10000000000000.0,13180662,1631044661
13,94.0,22000000000.0,13181141,1631051022
15,442.0,500000000000.0,13181663,1631058423
18,28.0,0.0,13181700,1631058883
20,235.0,10000000000000.0,13181720,1631059140
21,138.0,10000000000000.0,13181771,1631059840
22,139.0,21000000000000.0,13181771,1631059840
23,148.0,10000000000000.0,13181886,1631061325
24,291.0,0.0,13181886,1631061325
29,54.0,10000000000000.0,13181894,1631061400
30,291.0,10000000000000.0,13182033,1631063459
31,253.0,10000000000000.0,13182058,1631063788
32,261.0,10000000000000.0,13182058,1631063788
33,337.0,10000000000000.0,13182060,1631063808
34,84.0,10000000000000.0,13182985,1631076376
35,114.0,0.0,13183088,1631077610
36,83.0,0.0,13183102,1631077875
37,162.0,11000000000000.0,13183395,1631081501
40,152.0,7700000000000.0,13184374,1631094238
41,48.0,11000000000000.0,13184383,1631094325
42,288.0,11000000000000.0,13184406,1631094641
43,289.0,11000000000000.0,13184406,1631094641
44,290.0,11000000000000.0,13184406,1631094641
45,96.0,11000000000000.0,13184413,1631094760
46,116.0,11000000000000.0,13184417,1631094819
47,232.0,200000000000.0,13184920,1631101786
48,217.0,0.0,13184944,1631102066
49,63.0,2099999999999.0,13184956,1631102208
50,116.0,2099999999999.0,13184966,1631102345
51,54.0,2099999999999.0,13185002,1631102945
52,96.0,2099999999999.0,13185055,1631103530
53,259.0,2099999999999.0,13185093,1631103962
54,114.0,2099999999999.0,13185194,1631105355
